,HR,R,RBI,SB,W,SOLD,SO
"Christian Encarnacion-Strand (CIN)",24,63,77,3,0,0,0
"Luis Arraez (MIA)",5,71,67,5,0,0,0
"Gavin Williams (CLE)",0,0,0,0,8,0,147
"Bo Naylor (CLE)",15,51,54,7,0,0,0
"Mitch Keller (PIT)",0,0,0,0,10,0,174
"Ian Happ (CHC)",19,80,73,11,0,0,0
"Marcell Ozuna (ATL)",30,75,85,1,0,0,0
"Jose Berrios (TOR)",0,0,0,0,11,0,163
"Nick Pivetta (BOS)",0,0,0,0,10,0,183
"Riley Greene (DET)",17,76,68,9,0,0,0
"Hunter Brown (HOU)",0,0,0,0,11,0,164
"Chas McCormick (HOU)",18,70,60,15,0,0,0
"Alec Bohm (PHI)",16,69,73,4,0,0,0
"Keibert Ruiz (WSN)",14,52,59,1,0,0,0
"Jorge Soler (SFG)",30,76,84,1,0,0,0
"Jonah Heim (TEX)",19,55,62,2,0,0,0
"Bryce Miller (SEA)",0,0,0,0,9,0,131
"Trevor Story (BOS)",20,68,61,20,0,0,0
"Bryan Woo (SEA)",0,0,0,0,7,0,143
"Alex Lange (DET)",0,0,0,0,4,27,73
"Mitch Garver (SEA)",20,53,58,1,0,0,0
"Cristian Javier (HOU)",0,0,0,0,10,0,166
"Willy Adames (MIL)",28,79,88,7,0,0,0
"Yu Darvish (SDP)",0,0,0,0,9,0,143
"Noelvi Marte (CIN)",6,28,27,6,0,0,0
"Tommy Edman (STL)",11,63,47,26,0,0,0
"Max Muncy (LAD)",28,79,81,2,0,0,0
"Vinnie Pasquantino (KCR)",18,70,73,2,0,0,0
"Shota Imanaga (CHC)",0,0,0,0,9,0,148
"Jose Leclerc (TEX)",0,0,0,0,2,26,68
"Isaac Paredes (TBR)",21,63,68,0,0,0,0
"Ryan Pepiot (TBR)",0,0,0,0,9,0,132
"Rhys Hoskins (MIL)",27,75,83,4,0,0,0
"Ezequiel Tovar (COL)",17,77,70,15,0,0,0
"Luis Campusano (SDP)",12,45,53,0,0,0,0
"Nolan Gorman (STL)",25,66,76,5,0,0,0
"Christopher Morel (CHC)",25,73,72,14,0,0,0
"Walker Buehler (LAD)",0,0,0,0,9,0,111
"Eduardo Rodriguez (ARI)",0,0,0,0,12,0,154
"Jackson Holliday (BAL)",9,57,46,10,0,0,0
"Masataka Yoshida (BOS)",15,71,69,3,0,0,0
"James Outman (LAD)",17,69,60,12,0,0,0
"Brandon Pfaadt (ARI)",0,0,0,0,8,0,139
"Brandon Nimmo (NYM)",19,84,70,6,0,0,0
"Aaron Civale (TBR)",0,0,0,0,9,0,133
"Nathan Eovaldi (TEX)",0,0,0,0,9,0,138
"Maikel Garcia (KCR)",8,68,51,21,0,0,0
"Braxton Garrett (MIA)",0,0,0,0,7,0,130
"Jeremy Pena (HOU)",14,77,63,17,0,0,0
"Robert Suarez (SDP)",0,0,0,0,4,28,66
"Steven Kwan (CLE)",2,70,51,18,0,0,0
"Jarred Kelenic (ATL)",16,66,57,15,0,0,0
"Mason Miller (OAK)",0,0,0,0,2,23,77
"Nathaniel Lowe (TEX)",18,75,69,3,0,0,0
"Daulton Varsho (TOR)",23,73,66,19,0,0,0
