Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Abner Uribe,MIL,Abner Uribe (MIL),0,0,0,0,0,1,6,10,73,1.34,3.74,322.89,196,360,0,0,0,0,0,0,0,0,1
Yimi García,TOR,Yimi Garcia (TOR),0,0,0,0,0,4,2,15,60,1.26,4.08,340.9,207,360,0,0,0,0,0,0,0,0,1
Yariel Rodriguez,TOR,Yariel Rodriguez (TOR),0,0,0,0,0,4,0,0,53,1.27,4.04,360.79,324,324,0,0,0,0,0,0,0,0,1
Yennier Cano,BAL,Yennier Cano (BAL),0,0,0,0,0,3,4,12,64,1.25,3.67,333.13,217,359,0,0,0,0,0,0,0,0,1
Will Smith,KCR,Will Smith (KCR),0,0,0,0,0,3,13,8,52,1.24,4.18,255.7,159,329,0,0,0,0,0,0,0,0,1
Kenley Jansen,BOS,Kenley Jansen (BOS),0,0,0,0,0,4,32,2,52,1.28,4.17,145.24,84,204,0,0,0,0,0,0,0,0,1
Tom Cosgrove,SDP,Tom Cosgrove (SDP),0,0,0,0,0,2,0,9,57,1.28,4.02,360.97,355,355,0,0,0,0,0,0,0,0,1
Prelander Berroa,CHW,Prelander Berroa (CHW),0,0,0,0,0,3,0,1,85,1.58,4.98,360.96,354,354,0,0,0,0,0,0,0,0,1
José Leclerc,TEX,Jose Leclerc (TEX),0,0,0,0,0,1,19,6,69,1.33,4.26,181.24,114,257,0,0,0,0,0,0,0,0,1
Yuki Matsui,SDP,Yuki Matsui (SDP),0,0,0,0,0,1,6,10,55,1.34,3.95,307.81,153,359,0,0,0,0,0,0,0,0,1
Ryan Brasier,LAD,Ryan Brasier (LAD),0,0,0,0,0,2,1,16,45,1.23,4.15,360.81,328,328,0,0,0,0,0,0,0,0,1
Jason Foley,DET,Jason Foley (DET),0,0,0,0,0,2,9,9,45,1.33,4.22,360.89,351,352,0,0,0,0,0,0,0,0,1
Adam Ottavino,NYM,Adam Ottavino (NYM),0,0,0,0,0,4,2,12,55,1.37,3.98,360.94,351,351,0,0,0,0,0,0,0,0,1
Shelby Miller,DET,Shelby Miller (DET),0,0,0,0,0,2,1,12,44,1.36,4.6,360.49,328,358,0,0,0,0,0,0,0,0,1
Tyler Kinley,COL,Tyler Kinley (COL),0,0,0,0,0,2,8,9,36,1.39,5.07,352.4,272,359,0,0,0,0,0,0,0,0,1
Jordan Hicks,SFG,Jordan Hicks (SFG),0,0,0,0,0,5,0,1,74,1.4,4.21,301.52,207,359,0,0,0,0,0,0,0,0,1
Jordan Leasure,CHW,Jordan Leasure (CHW),0,0,0,0,0,2,0,0,51,1.35,4.43,359.52,315,359,0,0,0,0,0,0,0,0,1
Woo-Suk Go,SDP,Woo-Suk Go (SDP),0,0,0,0,0,6,0,0,59,1.28,4.05,360.93,349,349,0,0,0,0,0,0,0,0,1
Dany Jiménez,OAK,Dany Jimenez (OAK),0,0,0,0,0,2,4,13,44,1.44,4.25,360.51,290,346,0,0,0,0,0,0,0,0,1
Joe Kelly,LAD,Joe Kelly (LAD),0,0,0,0,0,3,3,12,44,1.34,4.46,360.65,322,353,0,0,0,0,0,0,0,0,1
Craig Kimbrel,BAL,Craig Kimbrel (BAL),0,0,0,0,0,5,26,3,67,1.27,4.42,111.27,82,157,0,0,0,0,0,0,0,0,1
Lucas Erceg,OAK,Lucas Erceg (OAK),0,0,0,0,0,3,6,10,57,1.45,4.18,360.25,230,360,0,0,0,0,0,0,0,0,1
David Robertson,TEX,David Robertson (TEX),0,0,0,0,0,4,11,9,61,1.37,4.5,328.39,214,359,0,0,0,0,0,0,0,0,1
Daniel Hudson,LAD,Daniel Hudson (LAD),0,0,0,0,0,3,1,12,34,1.29,4.18,334.76,242,357,0,0,0,0,0,0,0,0,1
Tyler Matzek,ATL,Tyler Matzek (ATL),0,0,0,0,0,2,0,10,47,1.42,4.2,360.93,349,349,0,0,0,0,0,0,0,0,1
Robert Suarez,SDP,Robert Suarez (SDP),0,0,0,0,0,3,26,4,41,1.28,4.42,176.51,89,275,0,0,0,0,0,0,0,0,1
Trevor Bauer,FA,Trevor Bauer (FA),0,0,0,0,0,6,0,0,97,1.28,4.3,360.34,335,360,0,0,0,0,0,0,0,0,1
Colin Rea,MIL,Colin Rea (MIL),0,0,0,0,0,5,0,1,98,1.29,4.55,360.55,307,352,0,0,0,0,0,0,0,0,1
Logan Allen,ARI,Logan Allen (ARI),0,0,0,0,0,4,0,1,68,1.5,4.7,360.76,318,318,0,0,0,0,0,0,0,0,1
