Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Amed Rosario,TBR,Amed Rosario (TBR),6,40,36,8,0.311,0,0,0,0,0,0,346.36,222,358,0,0,1,0,1,1,0,1,0
Dylan Carlson,STL,Dylan Carlson (STL),7,34,31,3,0.342,0,0,0,0,0,0,360.4,301,360,0,0,0,0,0,0,1,1,0
Kevin Kiermaier,TOR,Kevin Kiermaier (TOR),9,43,43,10,0.304,0,0,0,0,0,0,360.82,329,329,0,0,0,0,0,0,1,1,0
Marcell Ozuna,ATL,Marcell Ozuna (ATL),30,77,88,1,0.323,0,0,0,0,0,0,150.57,110,211,0,0,0,0,0,0,0,1,0
Kyle Isbel,KCR,Kyle Isbel (KCR),10,48,46,12,0.31,0,0,0,0,0,0,360.39,278,337,0,0,0,0,0,0,1,1,0
Josh Bell,MIA,Josh Bell (MIA),23,82,78,1,0.345,0,0,0,0,0,0,323.67,256,360,0,1,0,0,0,1,0,1,0
Wilmer Flores,SFG,Wilmer Flores (SFG),16,52,53,1,0.334,0,0,0,0,0,0,356.04,289,358,0,1,0,1,0,1,0,1,0
Jarren Duran,BOS,Jarren Duran (BOS),14,73,55,24,0.323,0,0,0,0,0,0,135.09,99,170,0,0,0,0,0,0,1,1,0
Joey Ortiz,MIL,Joey Ortiz (MIL),7,35,34,5,0.32,0,0,0,0,0,0,360.68,341,360,0,0,1,1,0,1,0,1,0
Brice Turang,MIL,Brice Turang (MIL),9,47,44,16,0.32,0,0,0,0,0,0,330.43,226,360,0,0,1,0,1,1,0,1,0
Michael Conforto,SFG,Michael Conforto (SFG),16,60,60,3,0.342,0,0,0,0,0,0,360.34,315,360,0,0,0,0,0,0,1,1,0
Esteury Ruiz,OAK,Esteury Ruiz (OAK),8,55,39,44,0.314,0,0,0,0,0,0,125.93,71,235,0,0,0,0,0,0,1,1,0
Shea Langeliers,OAK,Shea Langeliers (OAK),16,42,48,3,0.29,0,0,0,0,0,0,280.17,178,355,1,0,0,0,0,0,0,1,0
Salvador Perez,KCR,Salvador Perez (KCR),27,69,85,1,0.301,0,0,0,0,0,0,132.71,79,182,1,1,0,0,0,1,0,1,0
Joc Pederson,ARI,Joc Pederson (ARI),19,60,63,2,0.343,0,0,0,0,0,0,360.17,313,355,0,0,0,0,0,0,1,1,0
Trent Grisham,NYY,Trent Grisham (NYY),9,32,29,6,0.323,0,0,0,0,0,0,360.92,347,347,0,0,0,0,0,0,1,1,0
Ceddanne Rafaela,BOS,Ceddanne Rafaela (BOS),15,56,61,17,0.297,0,0,0,0,0,0,274.73,182,360,0,0,0,0,0,0,1,1,0
Freddy Fermin,KCR,Freddy Fermin (KCR),7,23,24,1,0.319,0,0,0,0,0,0,360.47,318,360,1,0,0,0,0,0,0,1,0
Isiah Kiner-Falefa,TOR,Isiah Kiner-Falefa (TOR),6,42,40,15,0.316,0,0,0,0,0,0,360.36,324,341,0,0,0,1,0,1,1,1,0
Starling Marte,NYM,Starling Marte (NYM),15,69,65,30,0.32,0,0,0,0,0,0,215.98,177,336,0,0,0,0,0,0,1,1,0
Ezequiel Tovar,COL,Ezequiel Tovar (COL),16,66,67,12,0.302,0,0,0,0,0,0,191.68,120,240,0,0,0,0,1,1,0,1,0
Matt Wallner,MIN,Matt Wallner (MIN),15,47,48,3,0.334,0,0,0,0,0,0,338.39,255,360,0,0,0,0,0,0,1,1,0
Justin Turner,TOR,Justin Turner (TOR),16,64,67,3,0.33,0,0,0,0,0,0,251.73,166,335,0,1,0,0,0,1,0,1,0
Jake Fraley,CIN,Jake Fraley (CIN),20,65,67,18,0.342,0,0,0,0,0,0,300.05,157,359,0,0,0,0,0,0,1,1,0
Jake Meyers,HOU,Jake Meyers (HOU),10,41,39,6,0.306,0,0,0,0,0,0,360.94,351,351,0,0,0,0,0,0,1,1,0
José Abreu,HOU,Jose Abreu (HOU),19,72,77,1,0.332,0,0,0,0,0,0,306.14,186,360,0,1,0,0,0,1,0,1,0
Michael Massey,KCR,Michael Massey (KCR),12,42,45,5,0.305,0,0,0,0,0,0,360.9,344,344,0,0,1,0,0,1,0,1,0
Brent Rooker,OAK,Brent Rooker (OAK),26,67,76,3,0.311,0,0,0,0,0,0,292.07,220,360,0,0,0,0,0,0,1,1,0
Gio Urshela,DET,Gio Urshela (DET),7,32,34,2,0.322,0,0,0,0,0,0,360.95,353,353,0,1,0,1,0,1,0,1,0
Will Benson,CIN,Will Benson (CIN),15,56,51,16,0.34,0,0,0,0,0,0,255.59,161,338,0,0,0,0,0,0,1,1,0
Junior Caminero,TBR,Junior Caminero (TBR),8,23,25,1,0.318,0,0,0,0,0,0,293.89,189,360,0,0,0,1,0,1,0,1,0
Jackson Chourio,MIL,Jackson Chourio (MIL),16,56,62,16,0.305,0,0,0,0,0,0,113.43,73,170,0,0,0,0,0,0,1,1,0
José Caballero,TBR,Jose Caballero (TBR),5,34,27,17,0.339,0,0,0,0,0,0,352.47,265,360,0,0,1,0,1,1,0,1,0
Jared Triolo,PIT,Jared Triolo (PIT),6,50,41,10,0.334,0,0,0,0,0,0,360.43,321,340,0,0,1,1,0,1,0,1,0
Jesús Sánchez,MIA,Jesus Sanchez (MIA),17,50,54,3,0.323,0,0,0,0,0,0,360.84,333,333,0,0,0,0,0,0,1,1,0
Ramón Laureano,CLE,Ramon Laureano (CLE),16,59,61,13,0.306,0,0,0,0,0,0,360.66,335,354,0,0,0,0,0,0,1,1,0
Mitch Haniger,SEA,Mitch Haniger (SEA),21,58,64,2,0.303,0,0,0,0,0,0,335.01,240,357,0,0,0,0,0,0,1,1,0
Dominic Canzone,SEA,Dominic Canzone (SEA),12,38,42,4,0.313,0,0,0,0,0,0,360.41,329,354,0,0,0,0,0,0,1,1,0
Kyle Manzardo,CLE,Kyle Manzardo (CLE),14,44,44,2,0.33,0,0,0,0,0,0,359.35,316,359,0,1,0,0,0,1,0,1,0
Kris Bryant,COL,Kris Bryant (COL),21,80,73,3,0.343,0,0,0,0,0,0,252.18,171,309,0,0,0,0,0,0,1,1,0
Kerry Carpenter,DET,Kerry Carpenter (DET),21,61,71,4,0.318,0,0,0,0,0,0,226.06,166,287,0,0,0,0,0,0,1,1,0
Yan Gomes,CHC,Yan Gomes (CHC),10,37,39,2,0.297,0,0,0,0,0,0,358.13,233,360,1,0,0,0,0,0,0,1,0
Javier Báez,DET,Javier Baez (DET),15,55,59,9,0.288,0,0,0,0,0,0,360.68,324,359,0,0,0,0,1,1,0,1,0
Garrett Mitchell,MIL,Garrett Mitchell (MIL),9,39,37,11,0.312,0,0,0,0,0,0,347.91,246,360,0,0,0,0,0,0,1,1,0
Jason Heyward,LAD,Jason Heyward (LAD),11,43,44,3,0.321,0,0,0,0,0,0,357.98,318,360,0,0,0,0,0,0,1,1,0
Wilyer Abreu,BOS,Wilyer Abreu (BOS),10,38,34,5,0.344,0,0,0,0,0,0,358.41,261,360,0,0,0,0,0,0,1,1,0
Giancarlo Stanton,NYY,Giancarlo Stanton (NYY),27,60,71,1,0.313,0,0,0,0,0,0,247.91,154,329,0,0,0,0,0,0,1,1,0
Noelvi Marte,CIN,Noelvi Marte (CIN),7,26,26,5,0.332,0,0,0,0,0,0,330.06,141,358,0,0,0,1,0,1,0,1,0
Alex Kirilloff,MIN,Alex Kirilloff (MIN),12,44,44,3,0.332,0,0,0,0,0,0,341.96,247,359,0,1,0,0,0,1,1,1,0
Johan Rojas,PHI,Johan Rojas (PHI),6,38,34,17,0.3,0,0,0,0,0,0,354.32,214,357,0,0,0,0,0,0,1,1,0
Jarred Kelenic,ATL,Jarred Kelenic (ATL),14,52,50,11,0.321,0,0,0,0,0,0,253.65,93,359,0,0,0,0,0,0,1,1,0
Willi Castro,MIN,Willi Castro (MIN),9,43,41,18,0.309,0,0,0,0,0,0,307.36,222,358,0,0,0,1,0,1,1,1,0
Cavan Biggio,TOR,Cavan Biggio (TOR),9,43,37,6,0.333,0,0,0,0,0,0,360.44,324,358,0,1,1,0,0,1,1,1,0
Tyler Stephenson,CIN,Tyler Stephenson (CIN),10,43,42,2,0.328,0,0,0,0,0,0,236.71,185,339,1,0,0,0,0,0,0,1,0
Jon Berti,NYY,Jon Berti (NYY),4,26,22,11,0.323,0,0,0,0,0,0,360.22,325,359,0,0,0,1,1,1,0,1,0
Michael A. Taylor,PIT,Michael A. Taylor (PIT),12,41,43,8,0.294,0,0,0,0,0,0,360.85,351,354,0,0,0,0,0,0,1,1,0
Mauricio Dubón,HOU,Mauricio Dubon (HOU),7,37,33,5,0.309,0,0,0,0,0,0,360.73,313,313,0,0,1,0,0,1,1,1,0
Ryan O'Hearn,BAL,Ryan O'Hearn (BAL),16,47,54,3,0.307,0,0,0,0,0,0,359.38,281,357,0,1,0,0,0,1,1,1,0
Bryan De La Cruz,MIA,Bryan De La Cruz (MIA),17,59,64,4,0.314,0,0,0,0,0,0,303.82,224,359,0,0,0,0,0,0,1,1,0
Rowdy Tellez,PIT,Rowdy Tellez (PIT),17,47,52,1,0.326,0,0,0,0,0,0,360.89,342,342,0,1,0,0,0,1,0,1,0
Colton Cowser,BAL,Colton Cowser (BAL),7,31,28,3,0.342,0,0,0,0,0,0,350.89,214,360,0,0,0,0,0,0,1,1,0
Hunter Renfroe,KCR,Hunter Renfroe (KCR),17,48,53,1,0.313,0,0,0,0,0,0,356.15,202,359,0,0,0,0,0,0,1,1,0
Chris Taylor,LAD,Chris Taylor (LAD),10,41,40,9,0.312,0,0,0,0,0,0,355.98,213,360,0,0,0,1,1,1,1,1,0
Enrique Hernández,LAD,Enrique Hernandez (LAD),9,38,38,2,0.304,0,0,0,0,0,0,360.97,358,359,0,0,1,0,1,1,1,1,0
Lawrence Butler,OAK,Lawrence Butler (OAK),12,44,46,7,0.297,0,0,0,0,0,0,360.55,331,358,0,0,0,0,0,0,1,1,0
Victor Robles,WSN,Victor Robles (WSN),7,40,36,14,0.314,0,0,0,0,0,0,360.81,329,359,0,0,0,0,0,0,1,1,0
Zach McKinstry,DET,Zach McKinstry (DET),8,41,33,9,0.312,0,0,0,0,0,0,360.44,318,353,0,0,1,1,1,1,1,1,0
