Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Iván Herrera,STL,Ivan Herrera (STL),5,24,21,2,0.328,0,0,0,0,0,0,360.4,302,357,1,0,0,0,0,0,0,1,0
Johan Rojas,PHI,Johan Rojas (PHI),5,41,27,19,0.289,0,0,0,0,0,0,354.32,214,357,0,0,0,0,0,0,1,1,0
Willi Castro,MIN,Willi Castro (MIN),10,51,38,20,0.306,0,0,0,0,0,0,307.36,222,358,0,0,0,1,0,1,1,1,0
Gio Urshela,DET,Gio Urshela (DET),7,34,36,2,0.314,0,0,0,0,0,0,360.95,353,353,0,1,0,1,0,1,0,1,0
Jackson Merrill,SDP,Jackson Merrill (SDP),10,54,52,10,0.299,0,0,0,0,0,0,270.46,181,359,0,0,0,0,1,1,1,1,0
Ceddanne Rafaela,BOS,Ceddanne Rafaela (BOS),11,56,47,17,0.294,0,0,0,0,0,0,274.73,182,360,0,0,0,0,0,0,1,1,0
Gary Sánchez,MIL,Gary Sanchez (MIL),15,32,42,0,0.301,0,0,0,0,0,0,352.49,228,360,1,0,0,0,0,0,0,1,0
Justin Turner,TOR,Justin Turner (TOR),14,53,57,2,0.316,0,0,0,0,0,0,251.73,166,335,0,1,0,0,0,1,0,1,0
Nick Castellanos,PHI,Nick Castellanos (PHI),25,74,85,7,0.31,0,0,0,0,0,0,110.05,64,150,0,0,0,0,0,0,1,1,0
J.D. Martinez,NYM,J.D. Martinez (NYM),20,56,66,0,0.319,0,0,0,0,0,0,257.47,149,333,0,0,0,0,0,0,0,1,0
Jackson Chourio,MIL,Jackson Chourio (MIL),14,62,59,18,0.296,0,0,0,0,0,0,113.43,73,170,0,0,0,0,0,0,1,1,0
TJ Friedl,CIN,TJ Friedl (CIN),12,55,44,18,0.321,0,0,0,0,0,0,262.9,126,360,0,0,0,0,0,0,1,1,0
Kerry Carpenter,DET,Kerry Carpenter (DET),19,65,67,6,0.318,0,0,0,0,0,0,226.06,166,287,0,0,0,0,0,0,1,1,0
José Abreu,HOU,Jose Abreu (HOU),21,70,75,1,0.319,0,0,0,0,0,0,306.14,186,360,0,1,0,0,0,1,0,1,0
Tom Murphy,SFG,Tom Murphy (SFG),7,23,24,1,0.302,0,0,0,0,0,0,360.66,301,301,1,0,0,0,0,0,0,1,0
Matt Wallner,MIN,Matt Wallner (MIN),18,54,55,3,0.318,0,0,0,0,0,0,338.39,255,360,0,0,0,0,0,0,1,1,0
Ty France,SEA,Ty France (SEA),14,63,63,0,0.326,0,0,0,0,0,0,344.41,244,359,0,1,0,0,0,1,0,1,0
Starling Marte,NYM,Starling Marte (NYM),9,63,42,30,0.315,0,0,0,0,0,0,215.98,177,336,0,0,0,0,0,0,1,1,0
Cavan Biggio,TOR,Cavan Biggio (TOR),9,42,36,6,0.326,0,0,0,0,0,0,360.44,324,358,0,1,1,0,0,1,1,1,0
Will Benson,CIN,Will Benson (CIN),15,57,47,17,0.318,0,0,0,0,0,0,255.59,161,338,0,0,0,0,0,0,1,1,0
Freddy Fermin,KCR,Freddy Fermin (KCR),6,21,23,0,0.308,0,0,0,0,0,0,360.47,318,360,1,0,0,0,0,0,0,1,0
Josh Bell,MIA,Josh Bell (MIA),19,68,72,0,0.337,0,0,0,0,0,0,323.67,256,360,0,1,0,0,0,1,0,1,0
Garrett Mitchell,MIL,Garrett Mitchell (MIL),11,50,40,14,0.303,0,0,0,0,0,0,347.91,246,360,0,0,0,0,0,0,1,1,0
Christian Encarnacion-Strand,CIN,Christian Encarnacion-Strand (CIN),24,63,77,3,0.316,0,0,0,0,0,0,126.06,74,199,0,1,0,0,0,1,0,1,0
Jorge Mateo,BAL,Jorge Mateo (BAL),5,30,18,20,0.285,0,0,0,0,0,0,359.3,267,360,0,0,0,0,1,1,0,1,0
Victor Robles,WSN,Victor Robles (WSN),7,41,26,18,0.309,0,0,0,0,0,0,360.81,329,359,0,0,0,0,0,0,1,1,0
Alex Kirilloff,MIN,Alex Kirilloff (MIN),10,45,44,2,0.332,0,0,0,0,0,0,341.96,247,359,0,1,0,0,0,1,1,1,0
Mitch Haniger,SEA,Mitch Haniger (SEA),20,53,59,1,0.308,0,0,0,0,0,0,335.01,240,357,0,0,0,0,0,0,1,1,0
Jarred Kelenic,ATL,Jarred Kelenic (ATL),15,59,50,14,0.317,0,0,0,0,0,0,253.65,93,359,0,0,0,0,0,0,1,1,0
Kris Bryant,COL,Kris Bryant (COL),16,62,61,3,0.349,0,0,0,0,0,0,252.18,171,309,0,0,0,0,0,0,1,1,0
Jared Triolo,PIT,Jared Triolo (PIT),6,40,34,8,0.319,0,0,0,0,0,0,360.43,321,340,0,0,1,1,0,1,0,1,0
Wilmer Flores,SFG,Wilmer Flores (SFG),14,44,48,0,0.318,0,0,0,0,0,0,356.04,289,358,0,1,0,1,0,1,0,1,0
Colson Montgomery,CHW,Colson Montgomery (CHW),5,22,20,1,0.321,0,0,0,0,0,0,360.95,353,353,0,0,0,0,1,1,0,1,0
Brent Rooker,OAK,Brent Rooker (OAK),22,57,67,3,0.309,0,0,0,0,0,0,292.07,220,360,0,0,0,0,0,0,1,1,0
Jasson Domínguez,NYY,Jasson Dominguez (NYY),6,24,20,7,0.322,0,0,0,0,0,0,359.08,263,356,0,0,0,0,0,0,1,1,0
Jake Fraley,CIN,Jake Fraley (CIN),12,57,48,18,0.334,0,0,0,0,0,0,300.05,157,359,0,0,0,0,0,0,1,1,0
Michael A. Taylor,PIT,Michael A. Taylor (PIT),13,47,44,12,0.287,0,0,0,0,0,0,360.85,351,354,0,0,0,0,0,0,1,1,0
Enrique Hernández,LAD,Enrique Hernandez (LAD),11,40,42,2,0.298,0,0,0,0,0,0,360.97,358,359,0,0,1,0,1,1,1,1,0
Ryan O'Hearn,BAL,Ryan O'Hearn (BAL),14,45,49,4,0.31,0,0,0,0,0,0,359.38,281,357,0,1,0,0,0,1,1,1,0
Drew Waters,KCR,Drew Waters (KCR),7,37,29,11,0.305,0,0,0,0,0,0,360.9,344,344,0,0,0,0,0,0,1,1,0
Mauricio Dubón,HOU,Mauricio Dubon (HOU),7,37,34,6,0.299,0,0,0,0,0,0,360.73,313,313,0,0,1,0,0,1,1,1,0
Jake McCarthy,ARI,Jake McCarthy (ARI),3,33,20,18,0.324,0,0,0,0,0,0,359.66,270,359,0,0,0,0,0,0,1,1,0
Jesús Sánchez,MIA,Jesus Sanchez (MIA),16,52,56,3,0.314,0,0,0,0,0,0,360.84,333,333,0,0,0,0,0,0,1,1,0
Ezequiel Duran,TEX,Ezequiel Duran (TEX),10,36,33,7,0.296,0,0,0,0,0,0,327.35,191,359,0,0,0,1,1,1,1,1,0
Jason Heyward,LAD,Jason Heyward (LAD),12,44,43,3,0.316,0,0,0,0,0,0,357.98,318,360,0,0,0,0,0,0,1,1,0
Whit Merrifield,PHI,Whit Merrifield (PHI),7,54,43,21,0.307,0,0,0,0,0,0,284.42,191,359,0,0,1,0,0,1,1,1,0
Luis Matos,SFG,Luis Matos (SFG),5,35,30,6,0.319,0,0,0,0,0,0,360.9,350,354,0,0,0,0,0,0,1,1,0
Elias Díaz,COL,Elias Diaz (COL),14,49,55,0,0.31,0,0,0,0,0,0,270.51,190,351,1,0,0,0,0,0,0,1,0
Paul DeJong,CHW,Paul DeJong (CHW),13,37,39,4,0.272,0,0,0,0,0,0,360.61,313,341,0,0,0,0,1,1,0,1,0
Andrew McCutchen,PIT,Andrew McCutchen (PIT),12,54,48,8,0.341,0,0,0,0,0,0,360.84,340,353,0,0,0,0,0,0,0,1,0
Wilyer Abreu,BOS,Wilyer Abreu (BOS),9,39,35,7,0.321,0,0,0,0,0,0,358.41,261,360,0,0,0,0,0,0,1,1,0
Brett Baty,NYM,Brett Baty (NYM),11,46,44,3,0.305,0,0,0,0,0,0,354.05,246,360,0,0,0,1,0,1,0,1,0
Noelvi Marte,CIN,Noelvi Marte (CIN),6,26,25,6,0.324,0,0,0,0,0,0,330.06,141,358,0,0,0,1,0,1,0,1,0
Joey Ortiz,MIL,Joey Ortiz (MIL),5,32,30,5,0.298,0,0,0,0,0,0,360.68,341,360,0,0,1,1,0,1,0,1,0
Harold Ramírez,TBR,Harold Ramirez (TBR),7,34,34,4,0.322,0,0,0,0,0,0,360.77,325,357,0,0,0,0,0,0,0,1,0
Rowdy Tellez,PIT,Rowdy Tellez (PIT),20,46,61,0,0.318,0,0,0,0,0,0,360.89,342,342,0,1,0,0,0,1,0,1,0
Wyatt Langford,TEX,Wyatt Langford (TEX),17,67,61,13,0.313,0,0,0,0,0,0,77.93,41,157,0,0,0,0,0,0,1,1,0
Tyler Black,MIL,Tyler Black (MIL),4,27,21,9,0.322,0,0,0,0,0,0,360.22,286,350,0,0,0,1,0,1,0,1,0
Sean Bouchard,COL,Sean Bouchard (COL),12,46,42,7,0.327,0,0,0,0,0,0,360.7,342,345,0,0,0,0,0,0,1,1,0
José Azocar,SDP,Jose Azocar (SDP),4,27,19,12,0.28,0,0,0,0,0,0,360.98,357,357,0,0,0,0,0,0,1,1,0
Blake Sabol,SFG,Blake Sabol (SFG),3,12,11,1,0.297,0,0,0,0,0,0,360.91,349,358,1,0,0,0,0,0,1,1,0
Jurickson Profar,SDP,Jurickson Profar (SDP),9,49,44,4,0.32,0,0,0,0,0,0,360.8,326,326,0,0,0,0,0,0,1,1,0
Dominic Canzone,SEA,Dominic Canzone (SEA),10,34,35,4,0.294,0,0,0,0,0,0,360.41,329,354,0,0,0,0,0,0,1,1,0
Mark Vientos,NYM,Mark Vientos (NYM),15,40,48,1,0.289,0,0,0,0,0,0,360.95,353,353,0,0,0,0,0,0,0,1,0
Nelson Velázquez,KCR,Nelson Velazquez (KCR),18,50,54,8,0.299,0,0,0,0,0,0,315.68,206,356,0,0,0,0,0,0,1,1,0
Isiah Kiner-Falefa,TOR,Isiah Kiner-Falefa (TOR),2,38,25,14,0.305,0,0,0,0,0,0,360.36,324,341,0,0,0,1,0,1,1,1,0
Coby Mayo,BAL,Coby Mayo (BAL),4,16,16,1,0.309,0,0,0,0,0,0,359.77,296,360,0,0,0,1,0,1,0,1,0
Edward Olivares,PIT,Edward Olivares (PIT),7,34,30,9,0.312,0,0,0,0,0,0,360.77,341,354,0,0,0,0,0,0,1,1,0
Mickey Moniak,LAA,Mickey Moniak (LAA),15,45,45,6,0.275,0,0,0,0,0,0,358.3,294,360,0,0,0,0,0,0,1,1,0
Hunter Renfroe,KCR,Hunter Renfroe (KCR),19,54,63,1,0.301,0,0,0,0,0,0,356.15,202,359,0,0,0,0,0,0,1,1,0
Colton Cowser,BAL,Colton Cowser (BAL),5,30,25,4,0.316,0,0,0,0,0,0,350.89,214,360,0,0,0,0,0,0,1,1,0
Kyle Manzardo,CLE,Kyle Manzardo (CLE),11,38,46,1,0.305,0,0,0,0,0,0,359.35,316,359,0,1,0,0,0,1,0,1,0
Lawrence Butler,OAK,Lawrence Butler (OAK),9,34,34,7,0.28,0,0,0,0,0,0,360.55,331,358,0,0,0,0,0,0,1,1,0
Richie Palacios,TBR,Richie Palacios (TBR),4,23,19,5,0.313,0,0,0,0,0,0,360.89,342,342,0,0,0,0,0,0,1,1,0
Liover Peguero,PIT,Liover Peguero (PIT),7,42,34,13,0.286,0,0,0,0,0,0,360.66,332,352,0,0,1,0,1,1,0,1,0
Adam Duvall,ATL,Adam Duvall (ATL),14,34,38,2,0.284,0,0,0,0,0,0,359.69,319,356,0,0,0,0,0,0,1,1,0
Graham Pauley,SDP,Graham Pauley (SDP),5,21,21,4,0.304,0,0,0,0,0,0,360.95,358,360,0,0,0,1,0,1,0,1,0
