Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Andrew Heaney,TEX,Andrew Heaney (TEX),0,0,0,0,0,7,0,0,127,1.3,4.38,347.98,249,360,0,0,0,0,0,0,0,0,1
Dean Kremer,BAL,Dean Kremer (BAL),0,0,0,0,0,9,0,0,131,1.31,4.33,307.89,191,355,0,0,0,0,0,0,0,0,1
Jared Jones,PIT,Jared Jones (PIT),0,0,0,0,0,6,0,0,100,1.37,4.71,318.59,182,360,0,0,0,0,0,0,0,0,1
Paul Skenes,PIT,Paul Skenes (PIT),0,0,0,0,0,3,0,0,59,1.26,4.17,268.24,175,358,0,0,0,0,0,0,0,0,1
Chase Silseth,LAA,Chase Silseth (LAA),0,0,0,0,0,7,0,0,120,1.35,4.36,330.69,240,360,0,0,0,0,0,0,0,0,1
Adrian Houser,NYM,Adrian Houser (NYM),0,0,0,0,0,7,0,0,89,1.39,4.51,360.98,358,358,0,0,0,0,0,0,0,0,1
Jordan Wicks,CHC,Jordan Wicks (CHC),0,0,0,0,0,7,0,0,97,1.32,4.39,357.77,293,360,0,0,0,0,0,0,0,0,1
Max Meyer,MIA,Max Meyer (MIA),0,0,0,0,0,5,0,0,84,1.32,4.37,333.82,248,360,0,0,0,0,0,0,0,0,1
John Means,BAL,John Means (BAL),0,0,0,0,0,6,0,0,88,1.17,4.19,344.01,258,360,0,0,0,0,0,0,0,0,1
Michael Soroka,CHW,Michael Soroka (CHW),0,0,0,0,0,6,0,0,101,1.29,4.6,352.3,203,359,0,0,0,0,0,0,0,0,1
Wade Miley,MIL,Wade Miley (MIL),0,0,0,0,0,7,0,0,88,1.34,4.22,360.93,349,349,0,0,0,0,0,0,0,0,1
Keaton Winn,SFG,Keaton Winn (SFG),0,0,0,0,0,5,0,1,78,1.26,4.16,359.41,323,357,0,0,0,0,0,0,0,0,1
James Paxton,LAD,James Paxton (LAD),0,0,0,0,0,7,0,0,94,1.28,4.27,276.15,206,342,0,0,0,0,0,0,0,0,1
Josiah Gray,WSN,Josiah Gray (WSN),0,0,0,0,0,7,0,0,144,1.42,4.91,342.71,256,360,0,0,0,0,0,0,0,0,1
Casey Mize,DET,Casey Mize (DET),0,0,0,0,0,6,0,0,88,1.29,4.48,326.04,203,360,0,0,0,0,0,0,0,0,1
Erick Fedde,CHW,Erick Fedde (CHW),0,0,0,0,0,7,0,0,115,1.36,4.92,330.19,241,358,0,0,0,0,0,0,0,0,1
Gerrit Cole,NYY,Gerrit Cole (NYY),0,0,0,0,0,6,0,0,94,1.11,3.58,157.78,8,340,0,0,0,0,0,0,0,0,1
Eury Pérez,MIA,Eury Perez (MIA),0,0,0,0,0,4,0,0,64,1.17,3.84,175.79,56,347,0,0,0,0,0,0,0,0,1
Aaron Ashby,MIL,Aaron Ashby (MIL),0,0,0,0,0,4,0,1,79,1.36,3.93,359.97,318,360,0,0,0,0,0,0,0,0,1
Mike Clevinger,CHW,Mike Clevinger (CHW),0,0,0,0,0,6,0,0,82,1.3,4.66,360.35,329,359,0,0,0,0,0,0,0,0,1
Emmanuel Clase,CLE,Emmanuel Clase (CLE),0,0,0,0,0,4,34,1,66,1.12,3.01,57.65,38,80,0,0,0,0,0,0,0,0,1
Jake Irvin,WSN,Jake Irvin (WSN),0,0,0,0,0,5,0,0,98,1.38,4.85,360.95,352,352,0,0,0,0,0,0,0,0,1
Max Scherzer,TEX,Max Scherzer (TEX),0,0,0,0,0,5,0,0,88,1.14,3.9,326.59,220,360,0,0,0,0,0,0,0,0,1
Tanner Scott,MIA,Tanner Scott (MIA),0,0,0,0,0,4,25,4,87,1.24,3.25,118.21,84,186,0,0,0,0,0,0,0,0,1
A.J. Minter,ATL,A.J. Minter (ATL),0,0,0,0,0,4,5,18,76,1.17,3.45,358.13,294,360,0,0,0,0,0,0,0,0,1
